,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
56,57,57,https://www.yelp.com/biz/gordons-gregorys-oklahoma-city?osq=plumbing,73101,No,73102
57,58,58,https://www.yelp.com/biz/asgard-maintenance-services-oklahoma-city?osq=plumbing,73101,No,73149
58,59,59,https://www.yelp.com/biz/hollowell-plumbing-oklahoma-city?osq=plumbing,73101,No,73118
59,60,60,https://www.yelp.com/biz/americas-choice-plumbing-oklahoma-city?osq=plumbing,73101,No,73129
60,61,61,https://www.yelp.com/biz/custom-plumbing-by-chris-norman?osq=plumbing,73101,No,73071
61,62,62,https://www.yelp.com/biz/russell-plumbing-oklahoma-city?osq=plumbing,73101,No,73105
62,63,63,https://www.yelp.com/biz/rapid-water-heaters-oklahoma-city-2?osq=plumbing,73101,Yes,73150
63,64,64,https://www.yelp.com/biz/grooms-irrigation-oklahoma-city-2?osq=plumbing,73101,Yes,73131
64,65,65,https://www.yelp.com/biz/streets-oklahoma-city?osq=plumbing,73101,No,73129
65,66,66,https://www.yelp.com/biz/hayes-plumbing-and-heating-oklahoma-city?osq=plumbing,73101,No,73107
66,67,67,https://www.yelp.com/biz/buddys-plumbing-oklahoma-city-7?osq=plumbing,73101,Yes,73129
67,68,68,https://www.yelp.com/biz/all-day-plumbing-heating-and-air-moore?osq=plumbing,73101,No,73160
68,69,69,https://www.yelp.com/biz/kc-plumbing-yukon?osq=plumbing,73101,No,73099
69,70,70,https://www.yelp.com/biz/arrow-water-well-service-piedmont-2?osq=plumbing,73101,Yes,73078
70,71,71,https://www.yelp.com/biz/all-care-plumbing-services-oklahoma-city?osq=plumbing,73101,Yes,74857
71,72,72,https://www.yelp.com/biz/a-amacs-plumbing-and-rooter-service-expert-sewer-and-drain-cleaning-oklahoma-city-2?osq=plumbing,73101,Yes,73142
72,73,73,https://www.yelp.com/biz/m-and-k-mechanical-oklahoma-city?osq=plumbing,73101,No,73129
73,74,74,https://www.yelp.com/biz/property-maintenance-and-home-solutions-edmond?osq=plumbing,73101,No,73012
74,75,75,https://www.yelp.com/biz/airco-service-oklahoma-city-3?osq=plumbing,73101,Yes,73013
75,76,76,https://www.yelp.com/biz/bowler-ernest-sr-oklahoma-city?osq=plumbing,73101,No,73105
76,77,77,https://www.yelp.com/biz/quality-home-services-oklahoma-city?osq=plumbing,73101,No,73149
77,78,78,https://www.yelp.com/biz/major-plumbing-sewer-and-drain-oklahoma-city?osq=plumbing,73101,No,74134
78,79,79,https://www.yelp.com/biz/chem-can-services-oklahoma-city-2?osq=plumbing,73101,No,73117
