,Unnamed: 0,Business_links,Zipcode_searched
70,70,https://www.yelp.com/biz/chet-walcott-plumbing-oklahoma-city?osq=plumbing,73101
71,71,https://www.yelp.com/biz/darnell-plumbing-heat-and-air-conditioning-oklahoma-city-2?osq=plumbing,73101
72,72,https://www.yelp.com/biz/homeland-plumbing-moore?osq=plumbing,73101
73,73,https://www.yelp.com/biz/oklahoma-city-plumbing-company-oklahoma-city?osq=plumbing,73101
74,74,https://www.yelp.com/biz/hope-plumbing-oklahoma-city?osq=plumbing,73101
75,75,https://www.yelp.com/biz/the-plumbing-company-oklahoma-city?osq=plumbing,73101
76,76,https://www.yelp.com/biz/plumbing-masters-oklahoma-city?osq=plumbing,73101
77,77,https://www.yelp.com/biz/cs-plumbing-dale-3?osq=plumbing,73101
78,78,https://www.yelp.com/biz/clays-plumbing-and-heating-oklahoma-city?osq=plumbing,73101
79,79,https://www.yelp.com/biz/friendly-plumbing-oklahoma-city?osq=plumbing,73101
80,80,https://www.yelp.com/biz/hite-plumbing-heating-and-air-conditioning-oklahoma-city?osq=plumbing,73101
81,81,https://www.yelp.com/biz/major-plumbing-sewer-and-drain-oklahoma-city?osq=plumbing,73101
82,82,https://www.yelp.com/biz/arnolds-plumbing-oklahoma-city?osq=plumbing,73101
83,83,https://www.yelp.com/biz/arrow-water-well-service-piedmont-2?osq=plumbing,73101
84,84,https://www.yelp.com/biz/all-care-plumbing-services-oklahoma-city?osq=plumbing,73101
85,85,https://www.yelp.com/biz/m-and-k-mechanical-oklahoma-city?osq=plumbing,73101
86,86,https://www.yelp.com/biz/property-maintenance-and-home-solutions-edmond?osq=plumbing,73101
87,87,https://www.yelp.com/biz/airco-service-oklahoma-city-3?osq=plumbing,73101
88,88,https://www.yelp.com/biz/morgan-plumbing-oklahoma-city?osq=plumbing,73101
89,89,https://www.yelp.com/biz/bowler-ernest-sr-oklahoma-city?osq=plumbing,73101
90,90,https://www.yelp.com/biz/chem-can-services-oklahoma-city-2?osq=plumbing,73101
