,Unnamed: 0,Business_links
0,0,https://www.yelp.com/biz/gongora-painting-seattle?osq=Painters
1,1,https://www.yelp.com/biz/facelift-painting-seattle?osq=Painters
2,2,https://www.yelp.com/biz/miguel-s-painting-solution-seattle-4?osq=Painters
3,3,https://www.yelp.com/biz/excel-home-painting-seattle-2?osq=Painters
4,4,https://www.yelp.com/biz/color-and-tone-painting-burien?osq=Painters
5,5,https://www.yelp.com/biz/couple-of-guys-painting-lynnwood-2?osq=Painters
6,6,https://www.yelp.com/biz/all-covered-painting-seattle?osq=Painters
7,7,https://www.yelp.com/biz/seattle-skyline-painting-services-maple-valley?osq=Painters
8,8,https://www.yelp.com/biz/cg-beautiful-painting-kent?osq=Painters
9,9,https://www.yelp.com/biz/indec-company-bellevue?osq=Painters
10,10,https://www.yelp.com/biz/alltech-painting-seattle-4?osq=Painters
11,11,https://www.yelp.com/biz/paintworx-redmond?osq=Painters
12,12,https://www.yelp.com/biz/nw-painting-solutions-seattle?osq=Painters
13,13,https://www.yelp.com/biz/bradley-paint-company-lynnwood?osq=Painters
14,14,https://www.yelp.com/biz/favorit-painters-issaquah?osq=Painters
16,16,https://www.yelp.com/biz/easy-painting-tacoma-2?osq=Painters
17,17,https://www.yelp.com/biz/bellevue-pro-painting-bellevue?osq=Painters
19,19,https://www.yelp.com/biz/exterior-crew-lynnwood?osq=Painters
20,20,https://www.yelp.com/biz/painter-bros-of-portland-seattle?osq=Painters
21,21,https://www.yelp.com/biz/ferdi-construction-kirkland-3?osq=Painters
23,23,https://www.yelp.com/biz/kp-painter-seattle?osq=Painters
24,24,https://www.yelp.com/biz/4-seasons-painting-and-pressure-washing-seattle-2?osq=Painters
26,26,https://www.yelp.com/biz/wallpapering-and-painting-pro-renton?osq=Painters
28,28,https://www.yelp.com/biz/paintzen-seattle-seattle-2?osq=Painters
29,29,https://www.yelp.com/biz/eugene-painting-seattle-3?osq=Painters
30,30,https://www.yelp.com/biz/pro-masters-painting-bellevue?osq=Painters
32,32,https://www.yelp.com/biz/pro-painters-service-kent-2?osq=Painters
33,33,https://www.yelp.com/biz/variform-painting-seattle?osq=Painters
